City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,Cape Town,-33.9258,18.4232,75.2,60,40,19.57,ZA,2021-01-15 13:40:43
238,Raudeberg,61.9875,5.1352,30.2,74,75,3.44,NO,2021-01-15 13:44:23
239,Karabulak,43.3036,44.8964,39.2,87,40,8.95,RU,2021-01-15 13:44:23
240,Hasaki,35.7333,140.8333,43.0,93,75,12.66,JP,2021-01-15 13:44:23
241,Kharovsk,59.9642,40.1912,-11.24,90,48,4.34,RU,2021-01-15 13:44:23
242,Sept-Iles,50.2001,-66.3821,24.8,86,0,4.61,CA,2021-01-15 13:39:55
243,Vila Franca Do Campo,37.7167,-25.4333,63.0,88,20,19.57,PT,2021-01-15 13:44:24
244,Verkhnyaya Inta,65.9811,60.3094,-8.43,83,72,7.81,RU,2021-01-15 13:44:24
245,Bethel,41.3712,-73.414,33.01,93,90,4.61,US,2021-01-15 13:41:07
246,Sechura,-5.5569,-80.8222,72.66,73,100,5.64,PE,2021-01-15 13:44:24
247,Zhigansk,66.7697,123.3711,-43.89,78,67,6.62,RU,2021-01-15 13:44:24
248,San Policarpo,12.1791,125.5072,80.56,84,100,12.84,PH,2021-01-15 13:44:24
249,Nioro,13.35,-15.75,98.69,8,65,13.47,GM,2021-01-15 13:44:24
250,Monrovia,6.3005,-10.7969,87.8,70,75,9.22,LR,2021-01-15 13:44:24
251,Ruidoso,33.3317,-105.673,34.0,21,1,6.91,US,2021-01-15 13:44:24
252,Bingol,38.8847,40.4939,44.6,53,75,16.11,TR,2021-01-15 13:44:24
253,Praia Da Vitoria,38.7333,-27.0667,62.01,88,75,32.23,PT,2021-01-15 13:44:24
254,Jian,27.1172,114.9793,55.8,47,0,2.13,CN,2021-01-15 13:44:24
255,Luderitz,-26.6481,15.1594,70.61,66,36,10.33,NA,2021-01-15 13:44:24
256,San Cristobal,7.7669,-72.225,75.2,73,40,2.3,VE,2021-01-15 13:44:24
257,Sola,-13.8833,167.55,82.67,76,100,4.54,VU,2021-01-15 13:44:24
258,Bambous Virieux,-20.3428,57.7575,84.2,79,40,14.97,MU,2021-01-15 13:44:25
259,Ulladulla,-35.35,150.4667,62.6,77,90,14.97,AU,2021-01-15 13:44:25
260,Samana,19.2056,-69.3369,75.2,88,40,2.86,DO,2021-01-15 13:44:25
261,Cherskiy,68.75,161.3,-23.58,86,99,4.07,RU,2021-01-15 13:44:25
262,Xingtai,37.0631,114.4942,32.38,75,96,3.4,CN,2021-01-15 13:44:25
263,Pisco,-13.7,-76.2167,69.8,78,3,6.91,PE,2021-01-15 13:44:25
264,Filadelfia,39.9523,-75.1638,37.99,93,90,8.05,US,2021-01-15 13:40:59
265,Waingapu,-9.6567,120.2641,80.71,81,100,2.15,ID,2021-01-15 13:44:25
266,Kumluca,36.3703,30.2869,57.07,65,87,3.33,TR,2021-01-15 13:44:25
267,Yar-Sale,66.8333,70.8333,-7.17,90,100,7.07,RU,2021-01-15 13:44:25
268,Touros,-5.1989,-35.4608,82.4,78,40,12.66,BR,2021-01-15 13:44:25
269,Westerly,41.3776,-71.8273,37.99,87,90,4.61,US,2021-01-15 13:39:55
270,Esperance,-33.8667,121.9,59.0,72,3,13.8,AU,2021-01-15 13:44:25
271,Benalla,-36.55,145.9833,57.99,54,40,13.8,AU,2021-01-15 13:44:25
272,Saint-Leu,-21.15,55.2833,84.2,74,20,17.27,RE,2021-01-15 13:44:25
273,Fortuna,40.5982,-124.1573,51.01,100,90,4.61,US,2021-01-15 13:44:25
274,Adrar,20.5022,-10.0711,72.32,19,100,16.2,MR,2021-01-15 13:44:26
275,Khanpur,28.6453,70.6567,57.25,31,0,2.53,PK,2021-01-15 13:44:26
276,Kruisfontein,-34.0033,24.7314,75.99,71,4,8.99,ZA,2021-01-15 13:44:26
277,Kawalu,-7.3817,108.2082,74.05,79,100,0.63,ID,2021-01-15 13:44:26
278,Dingle,10.9995,122.6711,75.15,93,18,5.7,PH,2021-01-15 13:44:26
279,Maningrida,-12.0667,134.2667,83.03,76,100,2.48,AU,2021-01-15 13:44:26
280,Berlevag,70.8578,29.0864,35.6,87,75,12.66,NO,2021-01-15 13:44:26
281,Hami,42.8,93.45,15.82,73,0,5.32,CN,2021-01-15 13:44:26
282,Muli,2.9167,73.5667,82.06,70,100,7.9,MV,2021-01-15 13:44:26
283,Loding,67.3,14.75,37.4,81,40,13.8,NO,2021-01-15 13:44:26
284,Mildura,-34.2,142.15,60.8,41,0,12.66,AU,2021-01-15 13:44:26
285,Miles City,46.4083,-105.8406,15.8,73,1,5.75,US,2021-01-15 13:44:26
286,Arman,59.7,150.1667,-18.08,76,0,6.04,RU,2021-01-15 13:44:26
287,Parnarama,-5.6817,-43.0933,82.02,77,74,3.85,BR,2021-01-15 13:44:26
288,Saint-Francois,46.4154,3.9054,35.6,87,90,12.66,FR,2021-01-15 13:44:26
289,Kargasok,59.0556,80.8572,-2.97,90,100,9.4,RU,2021-01-15 13:44:27
290,Junin,-34.5838,-60.9433,74.89,71,100,12.33,AR,2021-01-15 13:44:27
