City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
80,Najran,17.4924,44.1277,62.6,31,0,1.36,SA,2021-01-16 19:49:26,clear sky
81,Opuwo,-18.0607,13.84,67.46,67,1,13.71,NA,2021-01-16 19:49:43,clear sky
82,Katima Mulilo,-17.5,24.2667,69.13,92,94,4.18,NA,2021-01-16 19:49:43,overcast clouds
83,Grand-Santi,4.25,-54.3833,79.29,90,23,4.41,GF,2021-01-16 19:49:43,few clouds
84,Takoradi,4.8845,-1.7554,79.83,81,59,10.49,GH,2021-01-16 19:49:43,broken clouds
85,Mocuba,-16.8392,36.9856,78.22,86,100,2.55,MZ,2021-01-16 19:49:43,overcast clouds
86,Uaua,-9.8414,-39.4817,87.91,35,77,16.15,BR,2021-01-16 19:49:43,broken clouds
87,Sao Felix Do Xingu,-6.6447,-51.995,76.75,92,100,2.3,BR,2021-01-16 19:49:43,overcast clouds
88,Ponta Delgada,37.7333,-25.6667,62.01,100,75,11.5,PT,2021-01-16 19:49:44,moderate rain
89,Parana,-31.732,-60.5238,85.26,52,99,14.18,AR,2021-01-16 19:47:44,overcast clouds
90,Gat,31.61,34.7642,57.99,17,9,1.01,IL,2021-01-16 19:49:01,clear sky
91,Port-Gentil,-0.7193,8.7815,82.4,83,40,9.22,GA,2021-01-16 19:49:44,light rain
92,Karuzi,-3.125,30.1333,62.1,91,100,1.97,BI,2021-01-16 19:49:44,overcast clouds
93,Guapimirim,-22.5372,-42.9819,91.99,49,20,12.66,BR,2021-01-16 19:49:44,few clouds
94,Saint-Philippe,-21.3585,55.7679,82.4,78,20,3.44,RE,2021-01-16 19:49:44,light rain
95,Dosso,13.049,3.1937,75.96,18,23,8.93,NE,2021-01-16 19:49:44,few clouds
96,Mitu,1.1983,-70.1733,80.78,88,100,4.36,CO,2021-01-16 19:49:44,light rain
97,Ihosy,-22.4,46.1167,72.63,84,100,2.1,MG,2021-01-16 19:49:45,light rain
98,Mao,39.8885,4.2658,46.4,81,20,5.75,ES,2021-01-16 19:49:45,few clouds
99,San Borja,-14.8167,-66.85,88.34,60,42,8.08,BO,2021-01-16 19:49:45,scattered clouds
100,Santiago Del Estero,-27.7951,-64.2615,72.0,78,78,8.01,AR,2021-01-16 19:49:45,broken clouds
101,Puerto Del Rosario,28.5004,-13.8627,64.4,59,75,14.97,ES,2021-01-16 19:46:56,broken clouds
102,Ponta Grossa,-25.095,-50.1619,75.49,83,45,7.31,BR,2021-01-16 19:49:45,scattered clouds
103,Calama,-22.4667,-68.9333,73.4,33,0,21.85,CL,2021-01-16 19:49:45,clear sky
104,Laguna,38.421,-121.4238,62.01,59,1,3.44,US,2021-01-16 19:49:45,clear sky
105,Idenao,4.2475,9.0047,78.8,83,20,5.75,CM,2021-01-16 19:49:45,few clouds
106,Tinaquillo,9.9186,-68.3047,89.6,33,40,4.21,VE,2021-01-16 19:49:45,scattered clouds
