City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Lobito,AO,75.81,clear sky,-12.3481,13.5456,Casa Rosa Hotel Residence
152,Dwarka,IN,69.98,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
153,Prata,BR,77.34,moderate rain,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
155,Hurghada,EG,62.6,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
157,Marsabit,KE,71.83,few clouds,2.3284,37.9899,Chicho Hotel
158,Agadez,NE,65.75,clear sky,19.75,10.25,
159,Namibe,AO,75.25,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
162,Lubango,AO,57.07,clear sky,-14.9172,13.4925,Hotel Serra da Chela
163,Ouadda,CF,72.41,few clouds,8.0777,22.4007,
164,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
165,Salamiyah,SY,50.09,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
167,Beloha,MG,75.9,clear sky,-25.1667,45.05,
170,Tiznit,MA,55.26,clear sky,29.5833,-9.5,
172,Lalibela,ET,55.6,few clouds,12.0333,39.0333,Honey Land Hotel Lalibela
174,Makuyuni,TZ,73.27,clear sky,-4.7333,38.1,
175,Santa Maria,BR,75.2,scattered clouds,-29.6842,-53.8069,Hotel Morotin
181,Abu Dhabi,AE,64.4,clear sky,24.4667,54.3667,Beach Rotana
184,Beterou,BJ,78.17,clear sky,9.1992,2.2586,Monastère de Kokoubou
189,Ambanja,MG,76.86,light rain,-13.6833,48.45,Hotel Salama and Fast Food
190,Lodja,CD,71.85,scattered clouds,-3.4833,23.4333,
192,Springbok,ZA,60.94,clear sky,-29.6643,17.8865,Undulata Country Lodge
194,Caluquembe,AO,60.76,overcast clouds,-13.7833,14.6833,
196,Kasongo-Lunda,CD,71.37,light rain,-6.4667,16.8167,
197,Maiduguri,NG,71.33,clear sky,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
199,Mega,ET,65.19,broken clouds,4.05,38.3,Amanuel Guest House
200,Buchanan,LR,78.8,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
